link,fighter_1,fighter_2,method,round,time,weight_class
http://www.ufcstats.com/fight-details/0c418b9cdfd525c9,Nathan Fletcher,Zygimantas Ramaska,SUB,2,1:14,Featherweight
http://www.ufcstats.com/fight-details/15805ae1eea3343e,Caio Borralho,Jared Cannonier,U-DEC,5,5:00,Middleweight
http://www.ufcstats.com/fight-details/70afe9e0d2422252,Tabatha Ricci,Angela Hill,U-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/5c5523a6bf83e44f,Ryan Loder,Robert Valentin,KO/TKO,2,1:49,Middleweight
http://www.ufcstats.com/fight-details/bad06a5380d762b8,Mairon Santos,Kaan Ofli,KO/TKO,2,1:30,Featherweight
http://www.ufcstats.com/fight-details/ae50a1a655b1a8f6,Michael Morales,Neil Magny,KO/TKO,1,4:39,Welterweight
http://www.ufcstats.com/fight-details/2cbd53e43d3f606b,Gerald Meerschaert,Edmen Shahbazyan,SUB,2,4:12,Middleweight
http://www.ufcstats.com/fight-details/560f1e26c2a6690a,Francis Marshall,Dennis Buzukja,S-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/d2caa1ddb9de7481,Zachary Reese,Jose Daniel Medina,U-DEC,3,5:00,Middleweight
http://www.ufcstats.com/fight-details/ba8eda6993922ba0,Viacheslav Borshchev,James Llontop,S-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/903d588b30a471e8,Jacqueline Cavalcanti,Josiane Nunes,S-DEC,3,5:00,Women's Bantamweight
http://www.ufcstats.com/fight-details/d4127baf74b0e791,Wang Cong,Victoria Leonardo,KO/TKO,1,1:02,Women's Flyweight
http://www.ufcstats.com/fight-details/6c44af21414e4143,Dricus Du Plessis,Israel Adesanya,SUB,4,3:38,Middleweight
http://www.ufcstats.com/fight-details/bf8c5effd23f69c4,Kai Kara-France,Steve Erceg,KO/TKO,1,4:04,Flyweight
http://www.ufcstats.com/fight-details/059f5cf0e9e37627,Dan Hooker,Mateusz Gamrot,S-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/dd3d8f7066c145b7,Jairzinho Rozenstruik,Tai Tuivasa,S-DEC,3,5:00,Heavyweight
http://www.ufcstats.com/fight-details/3c319d4659e6c8fd,Carlos Prates,Li Jingliang,KO/TKO,2,4:02,Welterweight
http://www.ufcstats.com/fight-details/ea4ff1d77928b029,Valter Walker,Junior Tafa,SUB,1,4:56,Heavyweight
http://www.ufcstats.com/fight-details/43ebfc8914a39061,Ricardo Ramos,Josh Culibao,S-DEC,3,5:00,Featherweight
http://www.ufcstats.com/fight-details/b9d5c77ae7a8109b,Casey O'Neill,Luana Santos,U-DEC,3,5:00,Women's Flyweight
http://www.ufcstats.com/fight-details/bfff6cf22c1c569c,Jack Jenkins,Herbert Burns,KO/TKO,3,0:48,Featherweight
http://www.ufcstats.com/fight-details/ce75f5ecbc0d3dfd,Tom Nolan,Alex Reyes,U-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/ea824ac4b8ed8a35,Song Kenan,Ricky Glenn,U-DEC,3,5:00,Welterweight
http://www.ufcstats.com/fight-details/075a102456080ab2,Jesus Aguilar,Stewart Nicoll,SUB,1,2:39,Flyweight
http://www.ufcstats.com/fight-details/84973bbdffaf0d0e,Serghei Spivac,Marcin Tybura,SUB,1,1:44,Heavyweight
http://www.ufcstats.com/fight-details/e72a2130e7387637,Chepe Mariscal,Damon Jackson,U-DEC,3,5:00,Featherweight
http://www.ufcstats.com/fight-details/7b4284bd3033a319,Danny Barlow,Nikolay Veretennikov,S-DEC,3,5:00,Welterweight
http://www.ufcstats.com/fight-details/6aa89b7b5350b8e2,Chris Gutierrez,Quang Le,U-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/e0b14afd93af5638,Yana Santos,Chelsea Chandler,U-DEC,3,5:00,Women's Bantamweight
http://www.ufcstats.com/fight-details/1332c1037c955d82,Toshiomi Kazama,Charalampos Grigoriou,SUB,2,1:55,Bantamweight
http://www.ufcstats.com/fight-details/a7ac1dfcdc083694,Karol Rosa,Pannie Kianzad,U-DEC,3,5:00,Women's Bantamweight
http://www.ufcstats.com/fight-details/6bcaa0de4003cc41,Jhonata Diniz,Karl Williams,U-DEC,3,5:00,Heavyweight
http://www.ufcstats.com/fight-details/cd9851b8eadb53a9,Youssef Zalal,Jarno Errens,SUB,1,3:52,Featherweight
http://www.ufcstats.com/fight-details/1b5d5af1bc0a34c7,Stephanie Luciano,Talita Alencar,U-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/33655fd07cfbe034,Umar Nurmagomedov,Cory Sandhagen,U-DEC,5,5:00,Bantamweight
http://www.ufcstats.com/fight-details/b38450d9aa0f52b8,Shara Magomedov,Michal Oleksiejczuk,U-DEC,3,5:00,Middleweight
http://www.ufcstats.com/fight-details/bb85e207eba236bc,Deiveson Figueiredo,Marlon Vera,U-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/2d39c26876246223,Michael Chiesa,Tony Ferguson,SUB,1,3:44,Welterweight
http://www.ufcstats.com/fight-details/d0d74672150ddea3,Mackenzie Dern,Loopy Godinez,U-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/de767dd5216bcad9,Joel Alvarez,Elves Brener,KO/TKO,3,3:36,Lightweight
http://www.ufcstats.com/fight-details/fbbb703581440496,Azamat Murzakanov,Alonzo Menifield,KO/TKO,2,3:18,Light Heavyweight
http://www.ufcstats.com/fight-details/1cd63899011c4bf6,Kaue Fernandes,Mohammad Yahya,KO/TKO,1,4:45,Lightweight
http://www.ufcstats.com/fight-details/637f792270a0c746,Shamil Gaziev,Don'Tale Mayes,U-DEC,3,5:00,Heavyweight
http://www.ufcstats.com/fight-details/77df662671ce11c5,Guram Kutateladze,Jordan Vucenic,U-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/f80143e1f3c3d319,Sam Hughes,Viktoriia Dudakova,S-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/d038ff5ac21094f3,Jai Herbert,Rolando Bedoya,U-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/e6851877e33d343f,Sedriques Dumas,Denis Tiuliulin,U-DEC,3,5:00,Middleweight
http://www.ufcstats.com/fight-details/ec5163539a133f17,Belal Muhammad,Leon Edwards,U-DEC,5,5:00,Welterweight
http://www.ufcstats.com/fight-details/ec434314c5438fc7,Tom Aspinall,Curtis Blaydes,KO/TKO,1,1:00,Heavyweight
http://www.ufcstats.com/fight-details/3e2bde19e752f64b,Paddy Pimblett,King Green,SUB,1,3:22,Lightweight
http://www.ufcstats.com/fight-details/f02fed4e98048471,Gregory Rodrigues,Christian Leroy Duncan,U-DEC,3,5:00,Middleweight
http://www.ufcstats.com/fight-details/8a2e28da18ba6a25,Arnold Allen,Giga Chikadze,U-DEC,3,5:00,Featherweight
http://www.ufcstats.com/fight-details/45e6a9b56ee3a9d1,Nathaniel Wood,Daniel Pineda,U-DEC,3,5:00,Featherweight
http://www.ufcstats.com/fight-details/678eda89a096dde8,Bruna Brasil,Molly McCann,U-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/9d8c32c60df0e287,Jake Hadley,Caolan Loughran,U-DEC,3,5:00,Bantamweight
http://www.ufcstats.com/fight-details/d6e240c47ba6034d,Muhammad Mokaev,Manel Kape,U-DEC,3,5:00,Flyweight
http://www.ufcstats.com/fight-details/16b0a16ab2e20fdb,Oban Elliott,Preston Parsons,U-DEC,3,5:00,Welterweight
http://www.ufcstats.com/fight-details/026bb9fd1b3f239d,Modestas Bukauskas,Marcin Prachnio,SUB,3,3:12,Light Heavyweight
http://www.ufcstats.com/fight-details/3183dfe66fcdd25f,Sam Patterson,Kiefer Crosbie,SUB,1,2:50,Welterweight
http://www.ufcstats.com/fight-details/a5558e8fec59a687,Mick Parkin,Lukasz Brzeski,KO/TKO,1,3:23,Heavyweight
http://www.ufcstats.com/fight-details/dff2ef8fdde8c502,Shauna Bannon,Alice Ardelean,S-DEC,3,5:00,Women's Strawweight
http://www.ufcstats.com/fight-details/4a00db8aeff200a2,Virna Jandiroba,Amanda Lemos,SUB,2,4:48,Women's Strawweight
http://www.ufcstats.com/fight-details/120ec60ad18cf6c5,Steve Garcia,SeungWoo Choi,KO/TKO,1,1:36,Featherweight
http://www.ufcstats.com/fight-details/9eaa33f874bbb999,Kurt Holobaugh,Kaynan Kruschewsky,U-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/94541dd979e0b4bd,Bruno Silva,Cody Durden,KO/TKO,2,2:58,Flyweight
http://www.ufcstats.com/fight-details/ec8bc554a0646638,Dooho Choi,Bill Algeo,KO/TKO,2,3:38,Featherweight
http://www.ufcstats.com/fight-details/6e6567a98ea78891,Hyder Amil,JeongYeong Lee,KO/TKO,1,1:05,Featherweight
http://www.ufcstats.com/fight-details/40c18c6d64463809,Cody Gibson,Brian Kelleher,SUB,1,3:58,Bantamweight
http://www.ufcstats.com/fight-details/e655774643881e6c,Miranda Maverick,Dione Barbosa,U-DEC,3,5:00,Women's Flyweight
http://www.ufcstats.com/fight-details/b3f1253d0a991791,Trey Ogden,Loik Radzhabov,U-DEC,3,5:00,Lightweight
http://www.ufcstats.com/fight-details/c3ef9edf73626521,Luana Carolina,Lucie Pudilova,U-DEC,3,5:00,Women's Flyweight
http://www.ufcstats.com/fight-details/836e9bc5c1f6acd3,Thomas Petersen,Mohammed Usman,U-DEC,3,5:00,Heavyweight
http://www.ufcstats.com/fight-details/1394ce1832ddefe0,Rose Namajunas,Tracy Cortez,U-DEC,5,5:00,Women's Flyweight
http://www.ufcstats.com/fight-details/dff8e4ef87d69516,Muslim Salikhov,Santiago Ponzinibbio,S-DEC,3,5:00,Welterweight
http://www.ufcstats.com/fight-details/54de03e04f571735,Jean Silva,Drew Dober,KO/TKO,3,1:28,Lightweight
http://www.ufcstats.com/fight-details/dad759ec50508147,Gabriel Bonfim,Ange Loosa,U-DEC,3,5:00,Welterweight
http://www.ufcstats.com/fight-details/a63bb85cc39389c7,Julian Erosa,Christian Rodriguez,SUB,1,4:49,Featherweight
